"","i","j","cosSimEs"
"1185","Gab99Qua","Ign15Dis",1
"1186","Gab99Qua","Iye13Eur",1
"1187","Gab99Qua","Kam90Jou",1
"1188","Gab99Qua","Knu01Ame",1
"1189","Gab99Qua","Kra98Urb",1
"1190","Gab99Qua","Kru96Jou",1
"1191","Gab99Qua","Kum14Jou",1
"1193","Gab99Qua","Li_16Wor",1
"1195","Gab99Qua","Mal80Env",1
"1196","Gab99Qua","Man16Reg",1
"1197","Gab99Qua","Mir86Urb",1
"1200","Gab99Qua","Mor13Tow",1
"1201","Gab99Qua","Nau03Jou",1
"1202","Gab99Qua","Nis08Jou",1
"1203","Gab99Qua","Oka79Reg",1
"1204","Gab99Qua","Par83Jou",1
"1205","Gab99Qua","Par85Jou",1
"1207","Gab99Qua","Pop74Sov",1
"1208","Gab99Qua","Pum15Cyb",1
"1209","Gab99Qua","Ros80Jou",1
"1210","Gab99Qua","Roz11Ame",1
"1212","Gab99Qua","She12Com",1
"1213","Gab99Qua","Son02Urb",1
"1216","Gab99Qua","Sua80Jou",1
"1218","Gab99Qua","XuZ09Urb",1
"1219","Gab99Qua","Ziq16Asi",1
"1221","Gan06Eco","Gie10Jou",1
"1222","Gan06Eco","Gon10Jou",1
"1223","Gan06Eco","Gue95Urb",1
"1224","Gan06Eco","Gul12Age",1
"1226","Gan06Eco","Ign15Dis",1
"1227","Gan06Eco","Iye13Eur",1
"1228","Gan06Eco","Kam90Jou",1
"1229","Gan06Eco","Knu01Ame",1
"1230","Gan06Eco","Kra98Urb",1
"1231","Gan06Eco","Kru96Jou",1
"1232","Gan06Eco","Kum14Jou",1
"1234","Gan06Eco","Li_16Wor",1
"1236","Gan06Eco","Mal80Env",1
"1237","Gan06Eco","Man16Reg",1
"1238","Gan06Eco","Mir86Urb",1
"1241","Gan06Eco","Mor13Tow",1
"1242","Gan06Eco","Nau03Jou",1
"1243","Gan06Eco","Nis08Jou",1
"1244","Gan06Eco","Oka79Reg",1
"1245","Gan06Eco","Par83Jou",1
"1246","Gan06Eco","Par85Jou",1
"1248","Gan06Eco","Pop74Sov",1
"1249","Gan06Eco","Pum15Cyb",1
"1250","Gan06Eco","Ros80Jou",1
"1251","Gan06Eco","Roz11Ame",1
"1253","Gan06Eco","She12Com",1
"1254","Gan06Eco","Son02Urb",1
"1257","Gan06Eco","Sua80Jou",1
"1259","Gan06Eco","XuZ09Urb",1
"1260","Gan06Eco","Ziq16Asi",1
"1301","Gie10Jou","Gon10Jou",1
"1302","Gie10Jou","Gue95Urb",1
"1303","Gie10Jou","Gul12Age",1
"1305","Gie10Jou","Ign15Dis",1
"1306","Gie10Jou","Iye13Eur",1
"1307","Gie10Jou","Kam90Jou",1
"1308","Gie10Jou","Knu01Ame",1
"1309","Gie10Jou","Kra98Urb",1
"1310","Gie10Jou","Kru96Jou",1
"1311","Gie10Jou","Kum14Jou",1
"1313","Gie10Jou","Li_16Wor",1
"1315","Gie10Jou","Mal80Env",1
"1316","Gie10Jou","Man16Reg",1
"1317","Gie10Jou","Mir86Urb",1
"1320","Gie10Jou","Mor13Tow",1
"1321","Gie10Jou","Nau03Jou",1
"1322","Gie10Jou","Nis08Jou",1
"1323","Gie10Jou","Oka79Reg",1
"1324","Gie10Jou","Par83Jou",1
"1325","Gie10Jou","Par85Jou",1
"1327","Gie10Jou","Pop74Sov",1
"1328","Gie10Jou","Pum15Cyb",1
"1329","Gie10Jou","Ros80Jou",1
"1330","Gie10Jou","Roz11Ame",1
"1332","Gie10Jou","She12Com",1
"1333","Gie10Jou","Son02Urb",1
"1336","Gie10Jou","Sua80Jou",1
"1338","Gie10Jou","XuZ09Urb",1
"1339","Gie10Jou","Ziq16Asi",1
"1340","Gon10Jou","Gue95Urb",1
"1341","Gon10Jou","Gul12Age",1
"1343","Gon10Jou","Ign15Dis",1
"1344","Gon10Jou","Iye13Eur",1
"1345","Gon10Jou","Kam90Jou",1
"1346","Gon10Jou","Knu01Ame",1
"1347","Gon10Jou","Kra98Urb",1
"1348","Gon10Jou","Kru96Jou",1
"1349","Gon10Jou","Kum14Jou",1
"1351","Gon10Jou","Li_16Wor",1
"1353","Gon10Jou","Mal80Env",1
"1354","Gon10Jou","Man16Reg",1
"1355","Gon10Jou","Mir86Urb",1
"1358","Gon10Jou","Mor13Tow",1
"1359","Gon10Jou","Nau03Jou",1
"1360","Gon10Jou","Nis08Jou",1
"1361","Gon10Jou","Oka79Reg",1
"1362","Gon10Jou","Par83Jou",1
"1363","Gon10Jou","Par85Jou",1
"1365","Gon10Jou","Pop74Sov",1
"1366","Gon10Jou","Pum15Cyb",1
"1367","Gon10Jou","Ros80Jou",1
"1368","Gon10Jou","Roz11Ame",1
"1370","Gon10Jou","She12Com",1
"1371","Gon10Jou","Son02Urb",1
"1374","Gon10Jou","Sua80Jou",1
"1376","Gon10Jou","XuZ09Urb",1
"1377","Gon10Jou","Ziq16Asi",1
"1378","Gue95Urb","Gul12Age",1
"1380","Gue95Urb","Ign15Dis",1
"1381","Gue95Urb","Iye13Eur",1
"1382","Gue95Urb","Kam90Jou",1
"1383","Gue95Urb","Knu01Ame",1
"1384","Gue95Urb","Kra98Urb",1
"1385","Gue95Urb","Kru96Jou",1
"1386","Gue95Urb","Kum14Jou",1
"1388","Gue95Urb","Li_16Wor",1
"1390","Gue95Urb","Mal80Env",1
"1391","Gue95Urb","Man16Reg",1
"1392","Gue95Urb","Mir86Urb",1
"1395","Gue95Urb","Mor13Tow",1
"1396","Gue95Urb","Nau03Jou",1
"1397","Gue95Urb","Nis08Jou",1
"1398","Gue95Urb","Oka79Reg",1
"1399","Gue95Urb","Par83Jou",1
"1400","Gue95Urb","Par85Jou",1
"1402","Gue95Urb","Pop74Sov",1
"1403","Gue95Urb","Pum15Cyb",1
"1404","Gue95Urb","Ros80Jou",1
"1405","Gue95Urb","Roz11Ame",1
"1407","Gue95Urb","She12Com",1
"1408","Gue95Urb","Son02Urb",1
"1411","Gue95Urb","Sua80Jou",1
"1413","Gue95Urb","XuZ09Urb",1
"1414","Gue95Urb","Ziq16Asi",1
"1416","Gul12Age","Ign15Dis",1
"1417","Gul12Age","Iye13Eur",1
"1418","Gul12Age","Kam90Jou",1
"1419","Gul12Age","Knu01Ame",1
"1420","Gul12Age","Kra98Urb",1
"1421","Gul12Age","Kru96Jou",1
"1422","Gul12Age","Kum14Jou",1
"1424","Gul12Age","Li_16Wor",1
"1426","Gul12Age","Mal80Env",1
"1427","Gul12Age","Man16Reg",1
"1428","Gul12Age","Mir86Urb",1
"1431","Gul12Age","Mor13Tow",1
"1432","Gul12Age","Nau03Jou",1
"1433","Gul12Age","Nis08Jou",1
"1434","Gul12Age","Oka79Reg",1
"1435","Gul12Age","Par83Jou",1
"1436","Gul12Age","Par85Jou",1
"1438","Gul12Age","Pop74Sov",1
"1439","Gul12Age","Pum15Cyb",1
"1440","Gul12Age","Ros80Jou",1
"1441","Gul12Age","Roz11Ame",1
"1443","Gul12Age","She12Com",1
"1444","Gul12Age","Son02Urb",1
"1447","Gul12Age","Sua80Jou",1
"1449","Gul12Age","XuZ09Urb",1
"1450","Gul12Age","Ziq16Asi",1
"1486","Ign15Dis","Iye13Eur",1
"1487","Ign15Dis","Kam90Jou",1
"1488","Ign15Dis","Knu01Ame",1
"1489","Ign15Dis","Kra98Urb",1
"1490","Ign15Dis","Kru96Jou",1
"1491","Ign15Dis","Kum14Jou",1
"1493","Ign15Dis","Li_16Wor",1
"1495","Ign15Dis","Mal80Env",1
"1496","Ign15Dis","Man16Reg",1
"1497","Ign15Dis","Mir86Urb",1
"1500","Ign15Dis","Mor13Tow",1
"1501","Ign15Dis","Nau03Jou",1
"1502","Ign15Dis","Nis08Jou",1
"1503","Ign15Dis","Oka79Reg",1
"1504","Ign15Dis","Par83Jou",1
"1505","Ign15Dis","Par85Jou",1
"1507","Ign15Dis","Pop74Sov",1
"1508","Ign15Dis","Pum15Cyb",1
"1509","Ign15Dis","Ros80Jou",1
"1510","Ign15Dis","Roz11Ame",1
"1512","Ign15Dis","She12Com",1
"1513","Ign15Dis","Son02Urb",1
"1516","Ign15Dis","Sua80Jou",1
"1518","Ign15Dis","XuZ09Urb",1
"1519","Ign15Dis","Ziq16Asi",1
"1520","Iye13Eur","Kam90Jou",1
"1521","Iye13Eur","Knu01Ame",1
"1522","Iye13Eur","Kra98Urb",1
"1523","Iye13Eur","Kru96Jou",1
"1524","Iye13Eur","Kum14Jou",1
"1526","Iye13Eur","Li_16Wor",1
"1528","Iye13Eur","Mal80Env",1
"1529","Iye13Eur","Man16Reg",1
"1530","Iye13Eur","Mir86Urb",1
"1533","Iye13Eur","Mor13Tow",1
"1534","Iye13Eur","Nau03Jou",1
"1535","Iye13Eur","Nis08Jou",1
"1536","Iye13Eur","Oka79Reg",1
"1537","Iye13Eur","Par83Jou",1
"1538","Iye13Eur","Par85Jou",1
"1540","Iye13Eur","Pop74Sov",1
"1541","Iye13Eur","Pum15Cyb",1
"1542","Iye13Eur","Ros80Jou",1
"1543","Iye13Eur","Roz11Ame",1
"1545","Iye13Eur","She12Com",1
"1546","Iye13Eur","Son02Urb",1
"1549","Iye13Eur","Sua80Jou",1
"1551","Iye13Eur","XuZ09Urb",1
"1552","Iye13Eur","Ziq16Asi",1
"1553","Kam90Jou","Knu01Ame",1
"1554","Kam90Jou","Kra98Urb",1
"1555","Kam90Jou","Kru96Jou",1
"1556","Kam90Jou","Kum14Jou",1
"1558","Kam90Jou","Li_16Wor",1
"1560","Kam90Jou","Mal80Env",1
"1561","Kam90Jou","Man16Reg",1
"1562","Kam90Jou","Mir86Urb",1
"1565","Kam90Jou","Mor13Tow",1
"1566","Kam90Jou","Nau03Jou",1
"1567","Kam90Jou","Nis08Jou",1
"1568","Kam90Jou","Oka79Reg",1
"1569","Kam90Jou","Par83Jou",1
"1570","Kam90Jou","Par85Jou",1
"1572","Kam90Jou","Pop74Sov",1
"1573","Kam90Jou","Pum15Cyb",1
"1574","Kam90Jou","Ros80Jou",1
"1575","Kam90Jou","Roz11Ame",1
"1577","Kam90Jou","She12Com",1
"1578","Kam90Jou","Son02Urb",1
"1581","Kam90Jou","Sua80Jou",1
"1583","Kam90Jou","XuZ09Urb",1
"1584","Kam90Jou","Ziq16Asi",1
"1585","Knu01Ame","Kra98Urb",1
"1586","Knu01Ame","Kru96Jou",1
"1587","Knu01Ame","Kum14Jou",1
"1589","Knu01Ame","Li_16Wor",1
"1591","Knu01Ame","Mal80Env",1
"1592","Knu01Ame","Man16Reg",1
"1593","Knu01Ame","Mir86Urb",1
"1596","Knu01Ame","Mor13Tow",1
"1597","Knu01Ame","Nau03Jou",1
"1598","Knu01Ame","Nis08Jou",1
"1599","Knu01Ame","Oka79Reg",1
"1600","Knu01Ame","Par83Jou",1
"1601","Knu01Ame","Par85Jou",1
"1603","Knu01Ame","Pop74Sov",1
"1604","Knu01Ame","Pum15Cyb",1
"1605","Knu01Ame","Ros80Jou",1
"1606","Knu01Ame","Roz11Ame",1
"1608","Knu01Ame","She12Com",1
"1609","Knu01Ame","Son02Urb",1
"1612","Knu01Ame","Sua80Jou",1
"1614","Knu01Ame","XuZ09Urb",1
"1615","Knu01Ame","Ziq16Asi",1
"1616","Kra98Urb","Kru96Jou",1
"1617","Kra98Urb","Kum14Jou",1
"1619","Kra98Urb","Li_16Wor",1
"1621","Kra98Urb","Mal80Env",1
"1622","Kra98Urb","Man16Reg",1
"1623","Kra98Urb","Mir86Urb",1
"1626","Kra98Urb","Mor13Tow",1
"1627","Kra98Urb","Nau03Jou",1
"1628","Kra98Urb","Nis08Jou",1
"1629","Kra98Urb","Oka79Reg",1
"1630","Kra98Urb","Par83Jou",1
"1631","Kra98Urb","Par85Jou",1
"1633","Kra98Urb","Pop74Sov",1
"1634","Kra98Urb","Pum15Cyb",1
"1635","Kra98Urb","Ros80Jou",1
"1636","Kra98Urb","Roz11Ame",1
"1638","Kra98Urb","She12Com",1
"1639","Kra98Urb","Son02Urb",1
"1642","Kra98Urb","Sua80Jou",1
"1644","Kra98Urb","XuZ09Urb",1
"1645","Kra98Urb","Ziq16Asi",1
"1646","Kru96Jou","Kum14Jou",1
"1648","Kru96Jou","Li_16Wor",1
"1650","Kru96Jou","Mal80Env",1
"1651","Kru96Jou","Man16Reg",1
"1652","Kru96Jou","Mir86Urb",1
"1655","Kru96Jou","Mor13Tow",1
"1656","Kru96Jou","Nau03Jou",1
"1657","Kru96Jou","Nis08Jou",1
"1658","Kru96Jou","Oka79Reg",1
"1659","Kru96Jou","Par83Jou",1
"1660","Kru96Jou","Par85Jou",1
"1662","Kru96Jou","Pop74Sov",1
"1663","Kru96Jou","Pum15Cyb",1
"1664","Kru96Jou","Ros80Jou",1
"1665","Kru96Jou","Roz11Ame",1
"1667","Kru96Jou","She12Com",1
"1668","Kru96Jou","Son02Urb",1
"1671","Kru96Jou","Sua80Jou",1
"1673","Kru96Jou","XuZ09Urb",1
"1674","Kru96Jou","Ziq16Asi",1
"1676","Kum14Jou","Li_16Wor",1
"1678","Kum14Jou","Mal80Env",1
"1679","Kum14Jou","Man16Reg",1
"1680","Kum14Jou","Mir86Urb",1
"1683","Kum14Jou","Mor13Tow",1
"1684","Kum14Jou","Nau03Jou",1
"1685","Kum14Jou","Nis08Jou",1
"1686","Kum14Jou","Oka79Reg",1
"1687","Kum14Jou","Par83Jou",1
"1688","Kum14Jou","Par85Jou",1
"1690","Kum14Jou","Pop74Sov",1
"1691","Kum14Jou","Pum15Cyb",1
"1692","Kum14Jou","Ros80Jou",1
"1693","Kum14Jou","Roz11Ame",1
"1695","Kum14Jou","She12Com",1
"1696","Kum14Jou","Son02Urb",1
"1699","Kum14Jou","Sua80Jou",1
"1701","Kum14Jou","XuZ09Urb",1
"1702","Kum14Jou","Ziq16Asi",1
"1731","Li_16Wor","Mal80Env",1
"1732","Li_16Wor","Man16Reg",1
"1733","Li_16Wor","Mir86Urb",1
"1736","Li_16Wor","Mor13Tow",1
"1737","Li_16Wor","Nau03Jou",1
"1738","Li_16Wor","Nis08Jou",1
"1739","Li_16Wor","Oka79Reg",1
"1740","Li_16Wor","Par83Jou",1
"1741","Li_16Wor","Par85Jou",1
"1743","Li_16Wor","Pop74Sov",1
"1744","Li_16Wor","Pum15Cyb",1
"1745","Li_16Wor","Ros80Jou",1
"1746","Li_16Wor","Roz11Ame",1
"1748","Li_16Wor","She12Com",1
"1749","Li_16Wor","Son02Urb",1
"1752","Li_16Wor","Sua80Jou",1
"1754","Li_16Wor","XuZ09Urb",1
"1755","Li_16Wor","Ziq16Asi",1
"1781","Mal80Env","Man16Reg",1
"1782","Mal80Env","Mir86Urb",1
"1785","Mal80Env","Mor13Tow",1
"1786","Mal80Env","Nau03Jou",1
"1787","Mal80Env","Nis08Jou",1
"1788","Mal80Env","Oka79Reg",1
"1789","Mal80Env","Par83Jou",1
"1790","Mal80Env","Par85Jou",1
"1792","Mal80Env","Pop74Sov",1
"1793","Mal80Env","Pum15Cyb",1
"1794","Mal80Env","Ros80Jou",1
"1795","Mal80Env","Roz11Ame",1
"1797","Mal80Env","She12Com",1
"1798","Mal80Env","Son02Urb",1
"1801","Mal80Env","Sua80Jou",1
"1803","Mal80Env","XuZ09Urb",1
"1804","Mal80Env","Ziq16Asi",1
"1805","Man16Reg","Mir86Urb",1
"1808","Man16Reg","Mor13Tow",1
"1809","Man16Reg","Nau03Jou",1
"1810","Man16Reg","Nis08Jou",1
"1811","Man16Reg","Oka79Reg",1
"1812","Man16Reg","Par83Jou",1
"1813","Man16Reg","Par85Jou",1
"1815","Man16Reg","Pop74Sov",1
"1816","Man16Reg","Pum15Cyb",1
"1817","Man16Reg","Ros80Jou",1
"1818","Man16Reg","Roz11Ame",1
"1820","Man16Reg","She12Com",1
"1821","Man16Reg","Son02Urb",1
"1824","Man16Reg","Sua80Jou",1
"1826","Man16Reg","XuZ09Urb",1
"1827","Man16Reg","Ziq16Asi",1
"1830","Mir86Urb","Mor13Tow",1
"1831","Mir86Urb","Nau03Jou",1
"1832","Mir86Urb","Nis08Jou",1
"1833","Mir86Urb","Oka79Reg",1
"1834","Mir86Urb","Par83Jou",1
"1835","Mir86Urb","Par85Jou",1
"1837","Mir86Urb","Pop74Sov",1
"1838","Mir86Urb","Pum15Cyb",1
"1839","Mir86Urb","Ros80Jou",1
"1840","Mir86Urb","Roz11Ame",1
"1842","Mir86Urb","She12Com",1
"1843","Mir86Urb","Son02Urb",1
"1846","Mir86Urb","Sua80Jou",1
"1848","Mir86Urb","XuZ09Urb",1
"1849","Mir86Urb","Ziq16Asi",1
"1857","Mod15Qua","Pen10Phy",1
"1862","Mod15Qua","Sch12Reg",1
"1891","Mor13Tow","Nau03Jou",1
"1892","Mor13Tow","Nis08Jou",1
"1893","Mor13Tow","Oka79Reg",1
"1894","Mor13Tow","Par83Jou",1
"1895","Mor13Tow","Par85Jou",1
"1897","Mor13Tow","Pop74Sov",1
"1898","Mor13Tow","Pum15Cyb",1
"1899","Mor13Tow","Ros80Jou",1
"1900","Mor13Tow","Roz11Ame",1
"1902","Mor13Tow","She12Com",1
"1903","Mor13Tow","Son02Urb",1
"1906","Mor13Tow","Sua80Jou",1
"1908","Mor13Tow","XuZ09Urb",1
"1909","Mor13Tow","Ziq16Asi",1
"1910","Nau03Jou","Nis08Jou",1
"1911","Nau03Jou","Oka79Reg",1
"1912","Nau03Jou","Par83Jou",1
"1913","Nau03Jou","Par85Jou",1
"1915","Nau03Jou","Pop74Sov",1
"1916","Nau03Jou","Pum15Cyb",1
"1917","Nau03Jou","Ros80Jou",1
"1918","Nau03Jou","Roz11Ame",1
"1920","Nau03Jou","She12Com",1
"1921","Nau03Jou","Son02Urb",1
"1924","Nau03Jou","Sua80Jou",1
"1926","Nau03Jou","XuZ09Urb",1
"1927","Nau03Jou","Ziq16Asi",1
"1928","Nis08Jou","Oka79Reg",1
"1929","Nis08Jou","Par83Jou",1
"1930","Nis08Jou","Par85Jou",1
"1932","Nis08Jou","Pop74Sov",1
"1933","Nis08Jou","Pum15Cyb",1
"1934","Nis08Jou","Ros80Jou",1
"1935","Nis08Jou","Roz11Ame",1
"1937","Nis08Jou","She12Com",1
"1938","Nis08Jou","Son02Urb",1
"1941","Nis08Jou","Sua80Jou",1
"1943","Nis08Jou","XuZ09Urb",1
"1944","Nis08Jou","Ziq16Asi",1
"1945","Oka79Reg","Par83Jou",1
"1946","Oka79Reg","Par85Jou",1
"1948","Oka79Reg","Pop74Sov",1
"1949","Oka79Reg","Pum15Cyb",1
"1950","Oka79Reg","Ros80Jou",1
"1951","Oka79Reg","Roz11Ame",1
"1953","Oka79Reg","She12Com",1
"1954","Oka79Reg","Son02Urb",1
"1957","Oka79Reg","Sua80Jou",1
"1959","Oka79Reg","XuZ09Urb",1
"1960","Oka79Reg","Ziq16Asi",1
"1961","Par83Jou","Par85Jou",1
"1963","Par83Jou","Pop74Sov",1
"1964","Par83Jou","Pum15Cyb",1
"1965","Par83Jou","Ros80Jou",1
"1966","Par83Jou","Roz11Ame",1
"1968","Par83Jou","She12Com",1
"1969","Par83Jou","Son02Urb",1
"1972","Par83Jou","Sua80Jou",1
"1974","Par83Jou","XuZ09Urb",1
"1975","Par83Jou","Ziq16Asi",1
"1977","Par85Jou","Pop74Sov",1
"1978","Par85Jou","Pum15Cyb",1
"1979","Par85Jou","Ros80Jou",1
"1980","Par85Jou","Roz11Ame",1
"1982","Par85Jou","She12Com",1
"1983","Par85Jou","Son02Urb",1
"1986","Par85Jou","Sua80Jou",1
"1988","Par85Jou","XuZ09Urb",1
"1989","Par85Jou","Ziq16Asi",1
"1994","Pen10Phy","Sch12Reg",1
"2003","Pop74Sov","Pum15Cyb",1
"2004","Pop74Sov","Ros80Jou",1
"2005","Pop74Sov","Roz11Ame",1
"2007","Pop74Sov","She12Com",1
"2008","Pop74Sov","Son02Urb",1
"2011","Pop74Sov","Sua80Jou",1
"2013","Pop74Sov","XuZ09Urb",1
"2014","Pop74Sov","Ziq16Asi",1
"2015","Pum15Cyb","Ros80Jou",1
"2016","Pum15Cyb","Roz11Ame",1
"2018","Pum15Cyb","She12Com",1
"2019","Pum15Cyb","Son02Urb",1
"2022","Pum15Cyb","Sua80Jou",1
"2024","Pum15Cyb","XuZ09Urb",1
"2025","Pum15Cyb","Ziq16Asi",1
"2026","Ros80Jou","Roz11Ame",1
"2028","Ros80Jou","She12Com",1
"2029","Ros80Jou","Son02Urb",1
"2032","Ros80Jou","Sua80Jou",1
"2034","Ros80Jou","XuZ09Urb",1
"2035","Ros80Jou","Ziq16Asi",1
"2037","Roz11Ame","She12Com",1
"2038","Roz11Ame","Son02Urb",1
"2041","Roz11Ame","Sua80Jou",1
"2043","Roz11Ame","XuZ09Urb",1
"2044","Roz11Ame","Ziq16Asi",1
"2053","She12Com","Son02Urb",1
"2056","She12Com","Sua80Jou",1
"2058","She12Com","XuZ09Urb",1
"2059","She12Com","Ziq16Asi",1
"2062","Son02Urb","Sua80Jou",1
"2064","Son02Urb","XuZ09Urb",1
"2065","Son02Urb","Ziq16Asi",1
"2076","Sua80Jou","XuZ09Urb",1
"2077","Sua80Jou","Ziq16Asi",1
"2080","XuZ09Urb","Ziq16Asi",1
"149","And05Reg","Gan13Eco",1
"154","And05Reg","Hol10Nat",1
"162","And05Reg","LeG08Emp",1
"184","And05Reg","Soo05Reg",1
"185","And05Reg","Soo07Urb",1
"705","Cie16Mis","Del13Eur",1
"709","Cie16Mis","Ezz15Rev",1
"752","Cie16Mis","Ven13Oec",1
"859","Del13Eur","Ezz15Rev",1
"902","Del13Eur","Ven13Oec",1
"1088","Ezz15Rev","Ven13Oec",1
"1265","Gan13Eco","Hol10Nat",1
"1273","Gan13Eco","LeG08Emp",1
"1295","Gan13Eco","Soo05Reg",1
"1296","Gan13Eco","Soo07Urb",1
"1458","Hol10Nat","LeG08Emp",1
"1480","Hol10Nat","Soo05Reg",1
"1481","Hol10Nat","Soo07Urb",1
"1724","LeG08Emp","Soo05Reg",1
"1725","LeG08Emp","Soo07Urb",1
"2066","Soo05Reg","Soo07Urb",1
"2","Alp89Jou","And05Reg",0.707106781186547
"12","Alp89Jou","Cie16Mis",0.707106781186547
"15","Alp89Jou","Del13Eur",0.707106781186547
"19","Alp89Jou","Ezz15Rev",0.707106781186547
"24","Alp89Jou","Gan13Eco",0.707106781186547
"29","Alp89Jou","Hol10Nat",0.707106781186547
"37","Alp89Jou","LeG08Emp",0.707106781186547
"44","Alp89Jou","Mor13Tex",0.707106781186547
"59","Alp89Jou","Soo05Reg",0.707106781186547
"60","Alp89Jou","Soo07Urb",0.707106781186547
"62","Alp89Jou","Ven13Oec",0.707106781186547
"65","Ama14Int","And05Reg",0.707106781186547
"75","Ama14Int","Cie16Mis",0.707106781186547
"78","Ama14Int","Del13Eur",0.707106781186547
"82","Ama14Int","Ezz15Rev",0.707106781186547
"87","Ama14Int","Gan13Eco",0.707106781186547
"92","Ama14Int","Hol10Nat",0.707106781186547
"100","Ama14Int","LeG08Emp",0.707106781186547
"107","Ama14Int","Mor13Tex",0.707106781186547
"122","Ama14Int","Soo05Reg",0.707106781186547
"123","Ama14Int","Soo07Urb",0.707106781186547
"125","Ama14Int","Ven13Oec",0.707106781186547
"128","And05Reg","Ara14Eco",0.707106781186547
"129","And05Reg","Bat01Urb",0.707106781186547
"130","And05Reg","Ber12Cit",0.707106781186547
"131","And05Reg","Bla03Jou",0.707106781186547
"132","And05Reg","Bos08Reg",0.707106781186547
"133","And05Reg","Bra99Jou",0.707106781186547
"134","And05Reg","Bre00Cyb",0.707106781186547
"135","And05Reg","Bre15Int",0.707106781186547
"136","And05Reg","Cam90Jou",0.707106781186547
"138","And05Reg","Cra05Con",0.707106781186547
"139","And05Reg","Del04Con",0.707106781186547
"142","And05Reg","Eec04The",0.707106781186547
"143","And05Reg","Ett87Env",0.707106781186547
"147","And05Reg","Gab99Qua",0.707106781186547
"148","And05Reg","Gan06Eco",0.707106781186547
"150","And05Reg","Gie10Jou",0.707106781186547
"151","And05Reg","Gon10Jou",0.707106781186547
"152","And05Reg","Gue95Urb",0.707106781186547
"153","And05Reg","Gul12Age",0.707106781186547
"155","And05Reg","Ign15Dis",0.707106781186547
"156","And05Reg","Iye13Eur",0.707106781186547
"157","And05Reg","Kam90Jou",0.707106781186547
"158","And05Reg","Knu01Ame",0.707106781186547
"159","And05Reg","Kra98Urb",0.707106781186547
