"","i","j","diff_mean"
"2039","Roz11Ame","Soo05Reg",0.0599825244755848
"938","Dim09Urb","Par85Jou",0.0601031180768328
"585","Bre00Cyb","Ros80Jou",0.0603478839666407
"645","Bre15Int","Soo07Urb",0.0604648118182569
"1385","Gue95Urb","Kru96Jou",0.0605214969815045
"42","Alp89Jou","Mir86Urb",0.0605877855871798
"79","Ama14Int","Dim09Urb",0.0606025163884409
"332","Ber12Cit","Gue95Urb",0.0608455746092501
"789","Cra05Con","Oka79Reg",0.0612416855731732
"1604","Knu01Ame","Pum15Cyb",0.0612506716439323
"447","Bos08Reg","Gue95Urb",0.0613316910508686
"1571","Kam90Jou","Pen10Phy",0.061745268794427
"1298","Gan13Eco","Ven13Oec",0.0617460859818909
"1256","Gan06Eco","Soo07Urb",0.0617934732487983
"1582","Kam90Jou","Ven13Oec",0.0618155311135876
"21","Alp89Jou","Gab11Jou",0.0619303925317516
"1592","Knu01Ame","Man16Reg",0.061954699381306
"1906","Mor13Tow","Sua80Jou",0.0622229045271693
"916","Dim09Urb","Gul12Age",0.0624659627479785
"1689","Kum14Jou","Pen10Phy",0.0625409565795822
"1240","Gan06Eco","Mor13Tex",0.0627658268833594
"2054","She12Com","Soo05Reg",0.0629695140755568
"425","Bla03Jou","Ven13Oec",0.063200359949558
"492","Bra99Jou","Dim09Urb",0.0635192150381518
"1745","Li_16Wor","Ros80Jou",0.0639615518214641
"880","Del13Eur","Mal80Env",0.0640207761091453
"619","Bre15Int","Kra98Urb",0.0641673702936433
"772","Cra05Con","Iye13Eur",0.0641763563644023
"761","Cra05Con","Faz15Jou",0.0641828046800607
"143","And05Reg","Ett87Env",0.0645927221800595
"1747","Li_16Wor","Sch12Reg",0.0646046727856408
"563","Bre00Cyb","Kam90Jou",0.0650070259655298
"695","Cam90Jou","She12Com",0.0655902984401575
"203","Ara14Eco","Eec04The",0.0656307163283827
"1513","Ign15Dis","Son02Urb",0.066268964606903
"2033","Ros80Jou","Ven13Oec",0.0664746731124767
"1302","Gie10Jou","Gue95Urb",0.0664764233913312
"1212","Gab99Qua","She12Com",0.0665625313233945
"350","Ber12Cit","Mor13Tow",0.0667599913156086
"1655","Kru96Jou","Mor13Tow",0.0670840689433543
"946","Dim09Urb","Son02Urb",0.0671920948192696
"1687","Kum14Jou","Par83Jou",0.0673811401021212
"1667","Kru96Jou","She12Com",0.0675347642066315
"362","Ber12Cit","She12Com",0.0678588418343772
"1200","Gab99Qua","Mor13Tow",0.0680563018265913
"850","Del04Con","Soo05Reg",0.0680605462467306
"587","Bre00Cyb","Sch12Reg",0.0682183406404642
"1117","Faz15Jou","Nis08Jou",0.068320682399509
"282","Bat01Urb","Kum14Jou",0.0684722014488651
"840","Del04Con","Par83Jou",0.0685100105054353
"1360","Gon10Jou","Nis08Jou",0.0685187716608169
"1531","Iye13Eur","Mod15Qua",0.0685548297518256
"1558","Kam90Jou","Li_16Wor",0.0686206938203532
"1520","Iye13Eur","Kam90Jou",0.0686749954795603
"730","Cie16Mis","Mal80Env",0.0688959574984779
"683","Cam90Jou","Mor13Tow",0.0690285347098283
"411","Bla03Jou","Oka79Reg",0.0690771463539903
"954","Eec04The","Ezz15Rev",0.069562980469982
"904","Del13Eur","Ziq16Asi",0.0699119816707658
"506","Bra99Jou","Ign15Dis",0.0699418443880207
"514","Bra99Jou","Li_16Wor",0.0701139924573172
"604","Bre15Int","Ezz15Rev",0.0701144770884031
"1614","Knu01Ame","XuZ09Urb",0.0701952141697127
"1284","Gan13Eco","Oka79Reg",0.0705314203216573
"942","Dim09Urb","Ros80Jou",0.0705563292406294
"652","Cam90Jou","Del04Con",0.0706813306113313
"231","Ara14Eco","Mor13Tow",0.0708159583723136
"1543","Iye13Eur","Roz11Ame",0.0709730004763024
"803","Cra05Con","Ven13Oec",0.071035820730375
"1928","Nis08Jou","Oka79Reg",0.0712618015063965
"1994","Pen10Phy","Sch12Reg",0.071480097811567
"1904","Mor13Tow","Soo05Reg",0.071649319074429
"813","Del04Con","Gab99Qua",0.0716535634945683
"322","Ber12Cit","Eec04The",0.0719452333595395
"383","Bla03Jou","Faz15Jou",0.0720182654608778
"970","Eec04The","Kru96Jou",0.0722693109872851
"1236","Gan06Eco","Mal80Env",0.0725418308106168
"826","Del04Con","Kru96Jou",0.0726257963778053
"1304","Gie10Jou","Hol10Nat",0.072915385299819
"319","Ber12Cit","Del04Con",0.072949874005551
"957","Eec04The","Gab99Qua",0.0732415438705221
"1542","Iye13Eur","Ros80Jou",0.0733341374784494
"842","Del04Con","Pen10Phy",0.0733501940279743
"1094","Faz15Jou","Gan13Eco",0.0734725394285448
"1968","Par83Jou","She12Com",0.0736010426766091
"485","Bra99Jou","Bre00Cyb",0.0737276603121406
"1749","Li_16Wor","Son02Urb",0.0737868722384349
"2041","Roz11Ame","Sua80Jou",0.0738896991260135
"196","Ara14Eco","Bre15Int",0.0740467412300023
"1848","Mir86Urb","XuZ09Urb",0.0740841457026609
"1403","Gue95Urb","Pum15Cyb",0.0741327573468228
"453","Bos08Reg","Knu01Ame",0.0742137767537591
"655","Cam90Jou","Eec04The",0.0742137767537592
"1448","Gul12Age","Ven13Oec",0.0745650396051276
"1071","Ezz15Rev","Mor13Tow",0.0747482225139128
"754","Cie16Mis","Ziq16Asi",0.0747871630600983
"1391","Gue95Urb","Man16Reg",0.0748367850841965
"920","Dim09Urb","Kam90Jou",0.0752154712395185
"1237","Gan06Eco","Man16Reg",0.0753731953759229
"1868","Mod15Qua","Ven13Oec",0.0754142941177983
"1176","Gab11Jou","XuZ09Urb",0.0754267526472327
"1511","Ign15Dis","Sch12Reg",0.0754511640596971
"1249","Gan06Eco","Pum15Cyb",0.0760772231132967
"1867","Mod15Qua","Sua80Jou",0.0763078698504903
"1967","Par83Jou","Sch12Reg",0.076320281334106
"125","Ama14Int","Ven13Oec",0.0764284859646652
"545","Bre00Cyb","Del04Con",0.0766119511990771
"994","Eec04The","Soo05Reg",0.0768345611183599
"1987","Par85Jou","Ven13Oec",0.0769278842762733
"527","Bra99Jou","Pen10Phy",0.0769894174832434
"275","Bat01Urb","Hol10Nat",0.0770758427615722
"589","Bre00Cyb","Son02Urb",0.0774005400932583
"2042","Roz11Ame","Ven13Oec",0.0778324648422751
"449","Bos08Reg","Hol10Nat",0.0780601176402816
"462","Bos08Reg","Mir86Urb",0.0781027082867072
"1260","Gan06Eco","Ziq16Asi",0.0784330363722373
"1995","Pen10Phy","She12Com",0.0784412261991481
"731","Cie16Mis","Man16Reg",0.0790190686880619
"995","Eec04The","Soo07Urb",0.0792126457401282
"1308","Gie10Jou","Knu01Ame",0.0793585090942216
"441","Bos08Reg","Gab11Jou",0.0794453152312791
"1579","Kam90Jou","Soo05Reg",0.0796654714802779
"934","Dim09Urb","Nau03Jou",0.0797230964254355
"743","Cie16Mis","Pum15Cyb",0.0797230964254357
"979","Eec04The","Mor13Tex",0.0801849993746892
"829","Del04Con","Li_16Wor",0.0802256190539005
"1399","Gue95Urb","Par83Jou",0.0806143099017362
"1996","Pen10Phy","Son02Urb",0.0806622972643611
"802","Cra05Con","Sua80Jou",0.0806863432379136
"2018","Pum15Cyb","She12Com",0.0811460245719498
"1417","Gul12Age","Iye13Eur",0.0814245039711003
"1311","Gie10Jou","Kum14Jou",0.0815190266125261
"1377","Gon10Jou","Ziq16Asi",0.0815213691221443
"588","Bre00Cyb","She12Com",0.0817029833702509
"1137","Gab11Jou","Gan13Eco",0.0817387682852198
"525","Bra99Jou","Par83Jou",0.0818296010057824
"1820","Man16Reg","She12Com",0.0818500523093236
"62","Alp89Jou","Ven13Oec",0.0819230748350805
"1484","Hol10Nat","XuZ09Urb",0.082078680224328
"1027","Ett87Env","Nau03Jou",0.0821536786335281
"670","Cam90Jou","Kam90Jou",0.0822862558448786
"241","Ara14Eco","Roz11Ame",0.0824827529711578
"646","Bre15Int","Sua80Jou",0.0826397950751466
"1533","Iye13Eur","Mor13Tow",0.0826397950751466
"887","Del13Eur","Nis08Jou",0.0829145791320931
"1278","Gan13Eco","Mir86Urb",0.0830813752297916
"384","Bla03Jou","Gab11Jou",0.0831930422528869
"1317","Gie10Jou","Mir86Urb",0.0832474406271698
"1187","Gab99Qua","Kam90Jou",0.0832584887281156
"94","Ama14Int","Iye13Eur",0.083287950330638
"1538","Iye13Eur","Par85Jou",0.083787348642246
"881","Del13Eur","Man16Reg",0.0838942500773945
"1555","Kam90Jou","Kru96Jou",0.0842307216113527
"2030","Ros80Jou","Soo05Reg",0.084324613479167
"1491","Ign15Dis","Kum14Jou",0.084390305291682
"1905","Mor13Tow","Soo07Urb",0.084397887784059
"405","Bla03Jou","Mir86Urb",0.0845356491974587
"337","Ber12Cit","Kam90Jou",0.0845547992390983
"1138","Gab11Jou","Gie10Jou",0.0845900475717416
"893","Del13Eur","Pum15Cyb",0.0845982778147682
"229","Ara14Eco","Mod15Qua",0.0849009236956346
"1748","Li_16Wor","She12Com",0.0853166512250743
"1871","Mor13Tex","Mor13Tow",0.0853702414186201
"1401","Gue95Urb","Pen10Phy",0.0854544934242751
"1969","Par83Jou","Son02Urb",0.0855024807869001
"844","Del04Con","Pum15Cyb",0.0862370567431236
"1737","Li_16Wor","Nau03Jou",0.0863178738446009
"1081","Ezz15Rev","Roz11Ame",0.0864150171127571
"456","Bos08Reg","Kum14Jou",0.0866637589529887
"807","Del04Con","Dim09Urb",0.0868203964730659
"832","Del04Con","Man16Reg",0.0869410844804973
"692","Cam90Jou","Ros80Jou",0.0869453978437677
"1269","Gan13Eco","Knu01Ame",0.0869703067627398
"1353","Gon10Jou","Mal80Env",0.0874125746837648
"737","Cie16Mis","Nis08Jou",0.0877897605214257
"966","Eec04The","Iye13Eur",0.0878250371190775
"1209","Gab99Qua","Ros80Jou",0.0879176307270047
"396","Bla03Jou","Knu01Ame",0.0884245807304069
"424","Bla03Jou","Sua80Jou",0.0885218040187307
"558","Bre00Cyb","Gue95Urb",0.088716250595378
"31","Alp89Jou","Iye13Eur",0.0887825392010533
"1069","Ezz15Rev","Mod15Qua",0.0888331878372339
"1664","Kru96Jou","Ros80Jou",0.0888898636102417
"359","Ber12Cit","Ros80Jou",0.0892139412379874
"199","Ara14Eco","Cra05Con",0.0892793970830579
"328","Ber12Cit","Gan06Eco",0.0893644058508693
"1907","Mor13Tow","Ven13Oec",0.0894992594411194
"1231","Gan06Eco","Kru96Jou",0.089688483478615
"577","Bre00Cyb","Nau03Jou",0.0899315416994243
"975","Eec04The","Mal80Env",0.0899610033019467
"1297","Gan13Eco","Sua80Jou",0.0899760779863977
"1331","Gie10Jou","Sch12Reg",0.090458167844511
"1178","Gab99Qua","Gan06Eco",0.090660716361852
"1701","Kum14Jou","XuZ09Urb",0.0906823215370351
"762","Cra05Con","Gab11Jou",0.0910285030337039
"1243","Gan06Eco","Nis08Jou",0.0914356338335647
"661","Cam90Jou","Gan06Eco",0.091632949245089
"945","Dim09Urb","She12Com",0.0919114286442396
"1388","Gue95Urb","Li_16Wor",0.0923299184502014
"783","Cra05Con","Mir86Urb",0.0923711099782757
"1445","Gul12Age","Soo05Reg",0.0924149799718179
"1451","Hol10Nat","Ign15Dis",0.0929939466043891
"317","Ber12Cit","Cie16Mis",0.0930102791630083
"1914","Nau03Jou","Pen10Phy",0.0931932988705271
"760","Cra05Con","Ezz15Rev",0.0932116612246572
"725","Cie16Mis","Kru96Jou",0.0933343567907539
"1600","Knu01Ame","Par83Jou",0.0934963956046266
"1255","Gan06Eco","Soo05Reg",0.0942537336096897
"122","Ama14Int","Soo05Reg",0.0942784263313555
"712","Cie16Mis","Gab99Qua",0.094306589673991
"997","Eec04The","Ven13Oec",0.0946845014850502
"1039","Ett87Env","Son02Urb",0.0946846802396941
"1984","Par85Jou","Soo05Reg",0.0947778246429636
"1628","Kra98Urb","Nis08Jou",0.0949900215271339
"666","Cam90Jou","Gul12Age",0.0950357643364186
"1785","Mal80Env","Mor13Tow",0.0951462453458775
"650","Cam90Jou","Cie16Mis",0.095278822557228
"1156","Gab11Jou","Mod15Qua",0.0954069764211272
"2078","Ven13Oec","XuZ09Urb",0.0954194349505616
"1811","Man16Reg","Oka79Reg",0.0955470277030911
"29","Alp89Jou","Hol10Nat",0.0955750403398091
"476","Bos08Reg","Sch12Reg",0.0956029001849736
"999","Eec04The","Ziq16Asi",0.0958522088635672
"501","Bra99Jou","Gie10Jou",0.0959674875161874
"1183","Gab99Qua","Gul12Age",0.0960079972196557
"2040","Roz11Ame","Soo07Urb",0.0960646823829033
"1949","Oka79Reg","Pum15Cyb",0.0962510554404649
"774","Cra05Con","Knu01Ame",0.0962600415112239
"1828","Mir86Urb","Mod15Qua",0.096749583365699
"74","Ama14Int","Cam90Jou",0.0968992106959563
"1421","Gul12Age","Kru96Jou",0.0969802301028927
"1881","Mor13Tex","Roz11Ame",0.0970370360174643
"192","Ara14Eco","Bla03Jou",0.0971148578638749
"1357","Gon10Jou","Mor13Tex",0.0971885786110222
"141","And05Reg","Dim09Urb",0.0972840528789042
"333","Ber12Cit","Gul12Age",0.0973043077306383
"1834","Mir86Urb","Par83Jou",0.0973853271375748
"688","Cam90Jou","Par85Jou",0.0973986090075643
"1168","Gab11Jou","Roz11Ame",0.097825147145604
"1573","Kam90Jou","Pum15Cyb",0.0978419819766709
"85","Ama14Int","Gab99Qua",0.0978714435791933
"320","Ber12Cit","Del13Eur",0.0978854605523408
"749","Cie16Mis","Soo05Reg",0.0978996069218287
"1912","Nau03Jou","Par83Jou",0.0980334823930661
"1373","Gon10Jou","Soo07Urb",0.0981609322455832
"875","Del13Eur","Kru96Jou",0.0982095381800865
"1602","Knu01Ame","Pen10Phy",0.0983365791271656
"494","Bra99Jou","Ett87Env",0.0983575600208118
"1205","Gab99Qua","Par85Jou",0.0983708418908013
"1866","Mod15Qua","Soo07Urb",0.0984828531073801
"1111","Faz15Jou","Man16Reg",0.0984881468099786
"1561","Kam90Jou","Man16Reg",0.0985460097140447
"210","Ara14Eco","Gan13Eco",0.098569131831542
"1162","Gab11Jou","Par83Jou",0.0987279340821466
"98","Ama14Int","Kru96Jou",0.0988436764624303
"915","Dim09Urb","Gue95Urb",0.0989246958693667
"605","Bre15Int","Faz15Jou",0.0991433336329995
"1840","Mir86Urb","Roz11Ame",0.0991677540901758
"68","Ama14Int","Ber12Cit",0.0991677540901759
"862","Del13Eur","Gab99Qua",0.0991817710633235
"1123","Faz15Jou","Pum15Cyb",0.0991921745473524
"1660","Kru96Jou","Par85Jou",0.0993430747740384
"482","Bos08Reg","Ven13Oec",0.0994379975346079
"1850","Mod15Qua","Mor13Tex",0.0994552067419411
"2051","Sch12Reg","XuZ09Urb",0.0996214627690199
"1333","Gie10Jou","Son02Urb",0.0996403672973051
"355","Ber12Cit","Par85Jou",0.099667152401784
"59","Alp89Jou","Soo05Reg",0.0997730152017708
"1263","Gan13Eco","Gue95Urb",0.0998523924656303
"653","Cam90Jou","Del13Eur",0.100154003946561
"1471","Hol10Nat","Par85Jou",0.100570230898616
"1594","Knu01Ame","Mod15Qua",0.100638514898647
"1909","Mor13Tow","Ziq16Asi",0.101037450907498
"382","Bla03Jou","Ezz15Rev",0.101047122005474
"92","Ama14Int","Hol10Nat",0.101069629210224
"428","Bos08Reg","Bra99Jou",0.10111221985665
"390","Bla03Jou","Gue95Urb",0.101306666433297
"564","Bre00Cyb","Knu01Ame",0.101598336298268
"633","Bre15Int","Oka79Reg",0.102084452739887
"1836","Mir86Urb","Pen10Phy",0.102225510660114
"1551","Iye13Eur","XuZ09Urb",0.102278899316534
"11","Alp89Jou","Cam90Jou",0.102393799566372
"2015","Pum15Cyb","Ros80Jou",0.10250112397556
"1050","Ezz15Rev","Gan13Eco",0.102501395973141
"899","Del13Eur","Soo05Reg",0.102774788311161
"801","Cra05Con","Soo07Urb",0.102861326494803
"1415","Gul12Age","Hol10Nat",0.102933075569762
"1606","Knu01Ame","Roz11Ame",0.103056685623124
"1817","Man16Reg","Ros80Jou",0.103205151712934
"22","Alp89Jou","Gab99Qua",0.103366032449609
"1164","Gab11Jou","Pen10Phy",0.103568117604686
"785","Cra05Con","Mor13Tex",0.103833680129364
"1037","Ett87Env","Sch12Reg",0.103866879692488
"163","And05Reg","Li_16Wor",0.10387883029807
"36","Alp89Jou","Kum14Jou",0.104178681652516
"35","Alp89Jou","Kru96Jou",0.104338265332846
"1337","Gie10Jou","Ven13Oec",0.104582729875071
"5","Alp89Jou","Ber12Cit",0.104662342960591
"478","Bos08Reg","Son02Urb",0.104785099637768
"539","Bra99Jou","XuZ09Urb",0.105130782440696
"1589","Knu01Ame","Li_16Wor",0.105212004153092
"1227","Gan06Eco","Iye13Eur",0.105244209610407
"573","Bre00Cyb","Mir86Urb",0.105487267831217
"451","Bos08Reg","Iye13Eur",0.106297461900581
"1795","Mal80Env","Roz11Ame",0.106813039944722
"552","Bre00Cyb","Gab11Jou",0.106829874775788
"1293","Gan13Eco","She12Com",0.106865659690757
"134","And05Reg","Bre00Cyb",0.107492498152893
"1052","Ezz15Rev","Gon10Jou",0.107810597515729
"1645","Kra98Urb","Ziq16Asi",0.107992618988461
"420","Bla03Jou","She12Com",0.108319933658424
"2064","Son02Urb","XuZ09Urb",0.108803662221814
"982","Eec04The","Nis08Jou",0.108854806324895
"721","Cie16Mis","Iye13Eur",0.108890082922546
"1733","Li_16Wor","Mir86Urb",0.10910093568604
"768","Cra05Con","Gue95Urb",0.109142127214114
"1688","Kum14Jou","Par85Jou",0.109173872211323
"1783","Mal80Env","Mod15Qua",0.109231210669199
"1158","Gab11Jou","Mor13Tow",0.109491941744448
"353","Ber12Cit","Oka79Reg",0.109538238178038
"99","Ama14Int","Kum14Jou",0.109673270522931
"1658","Kru96Jou","Oka79Reg",0.109862315805783
"1151","Gab11Jou","Li_16Wor",0.110443542630612
"1439","Gul12Age","Pum15Cyb",0.110591490468211
"423","Bla03Jou","Soo07Urb",0.11069678727562
"176","And05Reg","Pen10Phy",0.110754255323996
"1830","Mir86Urb","Mor13Tow",0.11083454868902
"1203","Gab99Qua","Oka79Reg",0.11083454868902
"1475","Hol10Nat","Ros80Jou",0.111023442062413
"1427","Gul12Age","Man16Reg",0.111295518205585
"1306","Gie10Jou","Iye13Eur",0.111442194241043
"1422","Gul12Age","Kum14Jou",0.111536716882469
"407","Bla03Jou","Mor13Tex",0.111669140910181
"212","Ara14Eco","Gon10Jou",0.111742861657329
"686","Cam90Jou","Oka79Reg",0.111806781572257
"921","Dim09Urb","Knu01Ame",0.111806781572257
"815","Del04Con","Gan13Eco",0.111956691861931
"1258","Gan06Eco","Ven13Oec",0.11210367397638
"1296","Gan13Eco","Soo07Urb",0.112151061243287
"1321","Gie10Jou","Nau03Jou",0.112171368903471
"116","Ama14Int","Pum15Cyb",0.112454936827749
"325","Ber12Cit","Faz15Jou",0.112479357284925
"2044","Roz11Ame","Ziq16Asi",0.112704245506342
"1105","Faz15Jou","Kru96Jou",0.112803434912671
"1017","Ett87Env","Kum14Jou",0.112806020924473
"1978","Par85Jou","Pum15Cyb",0.112954335139357
"56","Alp89Jou","Sch12Reg",0.113117822884501
"1280","Gan13Eco","Mor13Tex",0.113123414877849
"104","Ama14Int","Man16Reg",0.113158964565122
"2069","Soo05Reg","XuZ09Urb",0.113269375317252
"377","Bla03Jou","Del04Con",0.113410965829598
"1393","Gue95Urb","Mod15Qua",0.113520600601538
"781","Cra05Con","Mal80Env",0.113609684056622
"1813","Man16Reg","Par85Jou",0.11365836287673
"600","Bre15Int","Del13Eur",0.113737230365584
"871","Del13Eur","Iye13Eur",0.113765264311879
"1092","Faz15Jou","Gab99Qua",0.113775667795908
"1621","Kra98Urb","Mal80Env",0.113883824550082
"1892","Mor13Tow","Nis08Jou",0.114040048368825
"1955","Oka79Reg","Soo05Reg",0.114427565936858
"956","Eec04The","Gab11Jou",0.114677183788379
"1596","Knu01Ame","Mor13Tow",0.114723480221968
"658","Cam90Jou","Faz15Jou",0.114747900679145
"1824","Man16Reg","Sua80Jou",0.114991685367832
"1870","Mod15Qua","Ziq16Asi",0.115122416230819
"174","And05Reg","Par83Jou",0.115594438846535
"1453","Hol10Nat","Kam90Jou",0.115682584061302
"2022","Pum15Cyb","Sua80Jou",0.115695713105205
"930","Dim09Urb","Mir86Urb",0.115695713105205
"752","Cie16Mis","Ven13Oec",0.115749547288519
"701","Cam90Jou","XuZ09Urb",0.115890159681853
"1405","Gue95Urb","Roz11Ame",0.115938771326015
"977","Eec04The","Mir86Urb",0.116019790732951
"798","Cra05Con","She12Com",0.116155394439241
"1218","Gab99Qua","XuZ09Urb",0.11686239256509
"909","Dim09Urb","Gab11Jou",0.117038320049777
"479","Bos08Reg","Soo05Reg",0.117287937901298
"466","Bos08Reg","Nau03Jou",0.117316101243934
"1129","Faz15Jou","Soo05Reg",0.117368685043745
"262","Bat01Urb","Dim09Urb",0.117542955583356
"1673","Kru96Jou","XuZ09Urb",0.117834625448327
"53","Alp89Jou","Pum15Cyb",0.117949525698164
"1981","Par85Jou","Sch12Reg",0.118113013443308
"368","Ber12Cit","XuZ09Urb",0.118158703076072
"597","Bre15Int","Cie16Mis",0.118612411754916
"119","Ama14Int","Sch12Reg",0.118612411754916
"8","Alp89Jou","Bra99Jou",0.118627142556177
"41","Alp89Jou","Man16Reg",0.118653553435538
"1973","Par83Jou","Ven13Oec",0.118720616385476
"805","Cra05Con","Ziq16Asi",0.119500889618242
"1692","Kum14Jou","Ros80Jou",0.11962708337512
"431","Bos08Reg","Cam90Jou",0.119908722265899
"968","Eec04The","Knu01Ame",0.119908722265899
"1374","Gon10Jou","Sua80Jou",0.120335915502473
"1442","Gul12Age","Sch12Reg",0.120475858114454
"1863","Mod15Qua","She12Com",0.120533867826665
"902","Del13Eur","Ven13Oec",0.120624728677852
"442","Bos08Reg","Gab99Qua",0.120880955149136
"755","Cra05Con","Del04Con",0.121246426610415
"1926","Nau03Jou","XuZ09Urb",0.12133466382798
"1010","Ett87Env","Hol10Nat",0.12140966223718
"403","Bla03Jou","Mal80Env",0.121445144837439
"455","Bos08Reg","Kru96Jou",0.121853188032373
"312","Ber12Cit","Bos08Reg",0.122177265660119
"608","Bre15Int","Gan06Eco",0.122258285067055
"58","Alp89Jou","Son02Urb",0.122300022337295
"1334","Gie10Jou","Soo05Reg",0.122432670241761
"1276","Gan13Eco","Mal80Env",0.122899418805106
"2037","Roz11Ame","She12Com",0.122952038551142
"2000","Pen10Phy","Ven13Oec",0.123560799908015
"1268","Gan13Eco","Kam90Jou",0.123561617095478
"227","Ara14Eco","Man16Reg",0.123584739212976
"526","Bra99Jou","Par85Jou",0.123622333114985
