"","i","j","diff_n"
"652","Cam90Jou","Del04Con",0.875886524822695
"669","Cam90Jou","Iye13Eur",0.875886524822695
"682","Cam90Jou","Mor13Tex",0.875886524822695
"812","Del04Con","Gab11Jou",0.875886524822695
"813","Del04Con","Gab99Qua",0.875886524822695
"824","Del04Con","Knu01Ame",0.875886524822695
"826","Del04Con","Kru96Jou",0.875886524822695
"837","Del04Con","Nau03Jou",0.875886524822695
"839","Del04Con","Oka79Reg",0.875886524822695
"852","Del04Con","Sua80Jou",0.875886524822695
"920","Dim09Urb","Kam90Jou",0.875886524822695
"925","Dim09Urb","LeG08Emp",0.875886524822695
"1144","Gab11Jou","Iye13Eur",0.875886524822695
"1157","Gab11Jou","Mor13Tex",0.875886524822695
"1186","Gab99Qua","Iye13Eur",0.875886524822695
"1199","Gab99Qua","Mor13Tex",0.875886524822695
"1521","Iye13Eur","Knu01Ame",0.875886524822695
"1523","Iye13Eur","Kru96Jou",0.875886524822695
"1534","Iye13Eur","Nau03Jou",0.875886524822695
"1536","Iye13Eur","Oka79Reg",0.875886524822695
"1549","Iye13Eur","Sua80Jou",0.875886524822695
"1595","Knu01Ame","Mor13Tex",0.875886524822695
"1654","Kru96Jou","Mor13Tex",0.875886524822695
"1872","Mor13Tex","Nau03Jou",0.875886524822695
"1874","Mor13Tex","Oka79Reg",0.875886524822695
"1887","Mor13Tex","Sua80Jou",0.875886524822695
"1933","Nis08Jou","Pum15Cyb",0.875886524822695
"1943","Nis08Jou","XuZ09Urb",0.875886524822695
"45","Alp89Jou","Mor13Tow",0.921985815602837
"55","Alp89Jou","Roz11Ame",0.921985815602837
"110","Ama14Int","Nis08Jou",0.921985815602837
"128","And05Reg","Ara14Eco",0.921985815602837
"144","And05Reg","Ezz15Rev",0.921985815602837
"161","And05Reg","Kum14Jou",0.921985815602837
"176","And05Reg","Pen10Phy",0.921985815602837
"240","Ara14Eco","Ros80Jou",0.921985815602837
"243","Ara14Eco","She12Com",0.921985815602837
"632","Bre15Int","Nis08Jou",0.921985815602837
"737","Cie16Mis","Nis08Jou",0.921985815602837
"982","Eec04The","Nis08Jou",0.921985815602837
"1028","Ett87Env","Nis08Jou",0.921985815602837
"1080","Ezz15Rev","Ros80Jou",0.921985815602837
"1083","Ezz15Rev","She12Com",0.921985815602837
"1223","Gan06Eco","Gue95Urb",0.921985815602837
"1245","Gan06Eco","Par83Jou",0.921985815602837
"1252","Gan06Eco","Sch12Reg",0.921985815602837
"1377","Gon10Jou","Ziq16Asi",0.921985815602837
"1378","Gue95Urb","Gul12Age",0.921985815602837
"1388","Gue95Urb","Li_16Wor",0.921985815602837
"1390","Gue95Urb","Mal80Env",0.921985815602837
"1435","Gul12Age","Par83Jou",0.921985815602837
"1442","Gul12Age","Sch12Reg",0.921985815602837
"1463","Hol10Nat","Mir86Urb",0.921985815602837
"1565","Kam90Jou","Mor13Tow",0.921985815602837
"1575","Kam90Jou","Roz11Ame",0.921985815602837
"1628","Kra98Urb","Nis08Jou",0.921985815602837
"1692","Kum14Jou","Ros80Jou",0.921985815602837
"1695","Kum14Jou","She12Com",0.921985815602837
"1710","LeG08Emp","Mor13Tow",0.921985815602837
"1720","LeG08Emp","Roz11Ame",0.921985815602837
"1740","Li_16Wor","Par83Jou",0.921985815602837
"1747","Li_16Wor","Sch12Reg",0.921985815602837
"1789","Mal80Env","Par83Jou",0.921985815602837
"1796","Mal80Env","Sch12Reg",0.921985815602837
"1942","Nis08Jou","Ven13Oec",0.921985815602837
"1992","Pen10Phy","Ros80Jou",0.921985815602837
"1995","Pen10Phy","She12Com",0.921985815602837
"11","Alp89Jou","Cam90Jou",0.968085106382979
"21","Alp89Jou","Gab11Jou",0.968085106382979
"22","Alp89Jou","Gab99Qua",0.968085106382979
"33","Alp89Jou","Knu01Ame",0.968085106382979
"35","Alp89Jou","Kru96Jou",0.968085106382979
"46","Alp89Jou","Nau03Jou",0.968085106382979
"48","Alp89Jou","Oka79Reg",0.968085106382979
"61","Alp89Jou","Sua80Jou",0.968085106382979
"332","Ber12Cit","Gue95Urb",0.968085106382979
"354","Ber12Cit","Par83Jou",0.968085106382979
"361","Ber12Cit","Sch12Reg",0.968085106382979
"447","Bos08Reg","Gue95Urb",0.968085106382979
"469","Bos08Reg","Par83Jou",0.968085106382979
"476","Bos08Reg","Sch12Reg",0.968085106382979
"503","Bra99Jou","Gue95Urb",0.968085106382979
"525","Bra99Jou","Par83Jou",0.968085106382979
"532","Bra99Jou","Sch12Reg",0.968085106382979
"670","Cam90Jou","Kam90Jou",0.968085106382979
"675","Cam90Jou","LeG08Emp",0.968085106382979
"915","Dim09Urb","Gue95Urb",0.968085106382979
"937","Dim09Urb","Par83Jou",0.968085106382979
"944","Dim09Urb","Sch12Reg",0.968085106382979
"1099","Faz15Jou","Hol10Nat",0.968085106382979
"1145","Gab11Jou","Kam90Jou",0.968085106382979
"1150","Gab11Jou","LeG08Emp",0.968085106382979
"1187","Gab99Qua","Kam90Jou",0.968085106382979
"1192","Gab99Qua","LeG08Emp",0.968085106382979
"1413","Gue95Urb","XuZ09Urb",0.968085106382979
"1451","Hol10Nat","Ign15Dis",0.968085106382979
"1553","Kam90Jou","Knu01Ame",0.968085106382979
"1555","Kam90Jou","Kru96Jou",0.968085106382979
"1566","Kam90Jou","Nau03Jou",0.968085106382979
"1568","Kam90Jou","Oka79Reg",0.968085106382979
"1581","Kam90Jou","Sua80Jou",0.968085106382979
"1588","Knu01Ame","LeG08Emp",0.968085106382979
"1647","Kru96Jou","LeG08Emp",0.968085106382979
"1711","LeG08Emp","Nau03Jou",0.968085106382979
"1713","LeG08Emp","Oka79Reg",0.968085106382979
"1726","LeG08Emp","Sua80Jou",0.968085106382979
"1853","Mod15Qua","Nis08Jou",0.968085106382979
"1974","Par83Jou","XuZ09Urb",0.968085106382979
"2051","Sch12Reg","XuZ09Urb",0.968085106382979
"40","Alp89Jou","Mal80Env",1.01418439716312
"199","Ara14Eco","Cra05Con",1.01418439716312
"225","Ara14Eco","Luc14Eco",1.01418439716312
"275","Bat01Urb","Hol10Nat",1.01418439716312
"760","Cra05Con","Ezz15Rev",1.01418439716312
"777","Cra05Con","Kum14Jou",1.01418439716312
"792","Cra05Con","Pen10Phy",1.01418439716312
"869","Del13Eur","Hol10Nat",1.01418439716312
"1065","Ezz15Rev","Luc14Eco",1.01418439716312
"1243","Gan06Eco","Nis08Jou",1.01418439716312
"1395","Gue95Urb","Mor13Tow",1.01418439716312
"1405","Gue95Urb","Roz11Ame",1.01418439716312
"1412","Gue95Urb","Ven13Oec",1.01418439716312
"1433","Gul12Age","Nis08Jou",1.01418439716312
"1481","Hol10Nat","Soo07Urb",1.01418439716312
"1560","Kam90Jou","Mal80Env",1.01418439716312
"1677","Kum14Jou","Luc14Eco",1.01418439716312
"1705","LeG08Emp","Mal80Env",1.01418439716312
"1738","Li_16Wor","Nis08Jou",1.01418439716312
"1767","Luc14Eco","Pen10Phy",1.01418439716312
"1894","Mor13Tow","Par83Jou",1.01418439716312
"1901","Mor13Tow","Sch12Reg",1.01418439716312
"1966","Par83Jou","Roz11Ame",1.01418439716312
"1973","Par83Jou","Ven13Oec",1.01418439716312
"2036","Roz11Ame","Sch12Reg",1.01418439716312
"2050","Sch12Reg","Ven13Oec",1.01418439716312
"63","Alp89Jou","XuZ09Urb",1.06028368794326
"352","Ber12Cit","Nis08Jou",1.06028368794326
"467","Bos08Reg","Nis08Jou",1.06028368794326
"523","Bra99Jou","Nis08Jou",1.06028368794326
"665","Cam90Jou","Gue95Urb",1.06028368794326
"687","Cam90Jou","Par83Jou",1.06028368794326
"694","Cam90Jou","Sch12Reg",1.06028368794326
"935","Dim09Urb","Nis08Jou",1.06028368794326
"1140","Gab11Jou","Gue95Urb",1.06028368794326
"1162","Gab11Jou","Par83Jou",1.06028368794326
"1169","Gab11Jou","Sch12Reg",1.06028368794326
"1182","Gab99Qua","Gue95Urb",1.06028368794326
"1204","Gab99Qua","Par83Jou",1.06028368794326
"1211","Gab99Qua","Sch12Reg",1.06028368794326
"1383","Gue95Urb","Knu01Ame",1.06028368794326
"1385","Gue95Urb","Kru96Jou",1.06028368794326
"1393","Gue95Urb","Mod15Qua",1.06028368794326
"1396","Gue95Urb","Nau03Jou",1.06028368794326
"1398","Gue95Urb","Oka79Reg",1.06028368794326
"1411","Gue95Urb","Sua80Jou",1.06028368794326
"1473","Hol10Nat","Pop74Sov",1.06028368794326
"1479","Hol10Nat","Son02Urb",1.06028368794326
"1583","Kam90Jou","XuZ09Urb",1.06028368794326
"1600","Knu01Ame","Par83Jou",1.06028368794326
"1607","Knu01Ame","Sch12Reg",1.06028368794326
"1659","Kru96Jou","Par83Jou",1.06028368794326
"1666","Kru96Jou","Sch12Reg",1.06028368794326
"1728","LeG08Emp","XuZ09Urb",1.06028368794326
"1855","Mod15Qua","Par83Jou",1.06028368794326
"1862","Mod15Qua","Sch12Reg",1.06028368794326
"1912","Nau03Jou","Par83Jou",1.06028368794326
"1919","Nau03Jou","Sch12Reg",1.06028368794326
"1945","Oka79Reg","Par83Jou",1.06028368794326
"1952","Oka79Reg","Sch12Reg",1.06028368794326
"1972","Par83Jou","Sua80Jou",1.06028368794326
"2049","Sch12Reg","Sua80Jou",1.06028368794326
"62","Alp89Jou","Ven13Oec",1.1063829787234
"228","Ara14Eco","Mir86Urb",1.1063829787234
"403","Bla03Jou","Mal80Env",1.1063829787234
"560","Bre00Cyb","Hol10Nat",1.1063829787234
"831","Del04Con","Mal80Env",1.1063829787234
"1068","Ezz15Rev","Mir86Urb",1.1063829787234
"1265","Gan13Eco","Hol10Nat",1.1063829787234
"1304","Gie10Jou","Hol10Nat",1.1063829787234
"1462","Hol10Nat","Man16Reg",1.1063829787234
"1475","Hol10Nat","Ros80Jou",1.1063829787234
"1528","Iye13Eur","Mal80Env",1.1063829787234
"1582","Kam90Jou","Ven13Oec",1.1063829787234
"1680","Kum14Jou","Mir86Urb",1.1063829787234
"1727","LeG08Emp","Ven13Oec",1.1063829787234
"1784","Mal80Env","Mor13Tex",1.1063829787234
"1836","Mir86Urb","Pen10Phy",1.1063829787234
"1892","Mor13Tow","Nis08Jou",1.1063829787234
"1935","Nis08Jou","Roz11Ame",1.1063829787234
"43","Alp89Jou","Mod15Qua",1.15248226950355
"206","Ara14Eco","Faz15Jou",1.15248226950355
"216","Ara14Eco","Ign15Dis",1.15248226950355
"236","Ara14Eco","Par85Jou",1.15248226950355
"426","Bla03Jou","XuZ09Urb",1.15248226950355
"685","Cam90Jou","Nis08Jou",1.15248226950355
"854","Del04Con","XuZ09Urb",1.15248226950355
"1046","Ezz15Rev","Faz15Jou",1.15248226950355
"1056","Ezz15Rev","Ign15Dis",1.15248226950355
"1076","Ezz15Rev","Par85Jou",1.15248226950355
"1106","Faz15Jou","Kum14Jou",1.15248226950355
"1121","Faz15Jou","Pen10Phy",1.15248226950355
"1160","Gab11Jou","Nis08Jou",1.15248226950355
"1202","Gab99Qua","Nis08Jou",1.15248226950355
"1474","Hol10Nat","Pum15Cyb",1.15248226950355
"1491","Ign15Dis","Kum14Jou",1.15248226950355
"1506","Ign15Dis","Pen10Phy",1.15248226950355
"1551","Iye13Eur","XuZ09Urb",1.15248226950355
"1563","Kam90Jou","Mod15Qua",1.15248226950355
"1598","Knu01Ame","Nis08Jou",1.15248226950355
"1657","Kru96Jou","Nis08Jou",1.15248226950355
"1688","Kum14Jou","Par85Jou",1.15248226950355
"1708","LeG08Emp","Mod15Qua",1.15248226950355
"1889","Mor13Tex","XuZ09Urb",1.15248226950355
"1910","Nau03Jou","Nis08Jou",1.15248226950355
"1928","Nis08Jou","Oka79Reg",1.15248226950355
"1941","Nis08Jou","Sua80Jou",1.15248226950355
"1976","Par85Jou","Pen10Phy",1.15248226950355
"92","Ama14Int","Hol10Nat",1.19858156028369
"190","Ara14Eco","Bat01Urb",1.19858156028369
"201","Ara14Eco","Del13Eur",1.19858156028369
"246","Ara14Eco","Soo07Urb",1.19858156028369
"265","Bat01Urb","Ezz15Rev",1.19858156028369
"282","Bat01Urb","Kum14Jou",1.19858156028369
"297","Bat01Urb","Pen10Phy",1.19858156028369
"425","Bla03Jou","Ven13Oec",1.19858156028369
"614","Bre15Int","Hol10Nat",1.19858156028369
"719","Cie16Mis","Hol10Nat",1.19858156028369
"853","Del04Con","Ven13Oec",1.19858156028369
"859","Del13Eur","Ezz15Rev",1.19858156028369
"876","Del13Eur","Kum14Jou",1.19858156028369
"891","Del13Eur","Pen10Phy",1.19858156028369
"964","Eec04The","Hol10Nat",1.19858156028369
"1010","Ett87Env","Hol10Nat",1.19858156028369
"1086","Ezz15Rev","Soo07Urb",1.19858156028369
"1455","Hol10Nat","Kra98Urb",1.19858156028369
"1550","Iye13Eur","Ven13Oec",1.19858156028369
"1698","Kum14Jou","Soo07Urb",1.19858156028369
"1888","Mor13Tex","Ven13Oec",1.19858156028369
"1998","Pen10Phy","Soo07Urb",1.19858156028369
"238","Ara14Eco","Pop74Sov",1.24468085106383
"244","Ara14Eco","Son02Urb",1.24468085106383
"406","Bla03Jou","Mod15Qua",1.24468085106383
"834","Del04Con","Mod15Qua",1.24468085106383
"1078","Ezz15Rev","Pop74Sov",1.24468085106383
"1084","Ezz15Rev","Son02Urb",1.24468085106383
"1531","Iye13Eur","Mod15Qua",1.24468085106383
"1690","Kum14Jou","Pop74Sov",1.24468085106383
"1696","Kum14Jou","Son02Urb",1.24468085106383
"1850","Mod15Qua","Mor13Tex",1.24468085106383
"1990","Pen10Phy","Pop74Sov",1.24468085106383
"1996","Pen10Phy","Son02Urb",1.24468085106383
"165","And05Reg","Mal80Env",1.29078014184397
"195","Ara14Eco","Bre00Cyb",1.29078014184397
"210","Ara14Eco","Gan13Eco",1.29078014184397
"211","Ara14Eco","Gie10Jou",1.29078014184397
"227","Ara14Eco","Man16Reg",1.29078014184397
"550","Bre00Cyb","Ezz15Rev",1.29078014184397
"567","Bre00Cyb","Kum14Jou",1.29078014184397
"582","Bre00Cyb","Pen10Phy",1.29078014184397
"1050","Ezz15Rev","Gan13Eco",1.29078014184397
"1051","Ezz15Rev","Gie10Jou",1.29078014184397
"1067","Ezz15Rev","Man16Reg",1.29078014184397
"1225","Gan06Eco","Hol10Nat",1.29078014184397
"1272","Gan13Eco","Kum14Jou",1.29078014184397
"1287","Gan13Eco","Pen10Phy",1.29078014184397
"1311","Gie10Jou","Kum14Jou",1.29078014184397
"1326","Gie10Jou","Pen10Phy",1.29078014184397
"1415","Gul12Age","Hol10Nat",1.29078014184397
"1459","Hol10Nat","Li_16Wor",1.29078014184397
"1679","Kum14Jou","Man16Reg",1.29078014184397
"1797","Mal80Env","She12Com",1.29078014184397
"1814","Man16Reg","Pen10Phy",1.29078014184397
"188","And05Reg","XuZ09Urb",1.33687943262411
"239","Ara14Eco","Pum15Cyb",1.33687943262411
"334","Ber12Cit","Hol10Nat",1.33687943262411
"449","Bos08Reg","Hol10Nat",1.33687943262411
"505","Bra99Jou","Hol10Nat",1.33687943262411
"917","Dim09Urb","Hol10Nat",1.33687943262411
"1079","Ezz15Rev","Pum15Cyb",1.33687943262411
"1471","Hol10Nat","Par85Jou",1.33687943262411
"1691","Kum14Jou","Pum15Cyb",1.33687943262411
"1991","Pen10Phy","Pum15Cyb",1.33687943262411
"2058","She12Com","XuZ09Urb",1.33687943262411
"66","Ama14Int","Ara14Eco",1.38297872340426
"82","Ama14Int","Ezz15Rev",1.38297872340426
"99","Ama14Int","Kum14Jou",1.38297872340426
"114","Ama14Int","Pen10Phy",1.38297872340426
"187","And05Reg","Ven13Oec",1.38297872340426
"196","Ara14Eco","Bre15Int",1.38297872340426
"198","Ara14Eco","Cie16Mis",1.38297872340426
"203","Ara14Eco","Eec04The",1.38297872340426
"204","Ara14Eco","Ett87Env",1.38297872340426
"220","Ara14Eco","Kra98Urb",1.38297872340426
"604","Bre15Int","Ezz15Rev",1.38297872340426
"621","Bre15Int","Kum14Jou",1.38297872340426
"636","Bre15Int","Pen10Phy",1.38297872340426
"709","Cie16Mis","Ezz15Rev",1.38297872340426
"726","Cie16Mis","Kum14Jou",1.38297872340426
"741","Cie16Mis","Pen10Phy",1.38297872340426
"781","Cra05Con","Mal80Env",1.38297872340426
"954","Eec04The","Ezz15Rev",1.38297872340426
"971","Eec04The","Kum14Jou",1.38297872340426
"986","Eec04The","Pen10Phy",1.38297872340426
"1000","Ett87Env","Ezz15Rev",1.38297872340426
"1017","Ett87Env","Kum14Jou",1.38297872340426
"1032","Ett87Env","Pen10Phy",1.38297872340426
"1060","Ezz15Rev","Kra98Urb",1.38297872340426
"1466","Hol10Nat","Mor13Tow",1.38297872340426
"1476","Hol10Nat","Roz11Ame",1.38297872340426
"1617","Kra98Urb","Kum14Jou",1.38297872340426
"1632","Kra98Urb","Pen10Phy",1.38297872340426
"1756","Luc14Eco","Mal80Env",1.38297872340426
"1934","Nis08Jou","Ros80Jou",1.38297872340426
"2057","She12Com","Ven13Oec",1.38297872340426
"168","And05Reg","Mod15Qua",1.4290780141844
"667","Cam90Jou","Hol10Nat",1.4290780141844
"804","Cra05Con","XuZ09Urb",1.4290780141844
"1142","Gab11Jou","Hol10Nat",1.4290780141844
"1184","Gab99Qua","Hol10Nat",1.4290780141844
"1454","Hol10Nat","Knu01Ame",1.4290780141844
"1456","Hol10Nat","Kru96Jou",1.4290780141844
"1467","Hol10Nat","Nau03Jou",1.4290780141844
"1469","Hol10Nat","Oka79Reg",1.4290780141844
"1482","Hol10Nat","Sua80Jou",1.4290780141844
"1779","Luc14Eco","XuZ09Urb",1.4290780141844
"1863","Mod15Qua","She12Com",1.4290780141844
"209","Ara14Eco","Gan06Eco",1.47517730496454
"214","Ara14Eco","Gul12Age",1.47517730496454
"224","Ara14Eco","Li_16Wor",1.47517730496454
"803","Cra05Con","Ven13Oec",1.47517730496454
"1049","Ezz15Rev","Gan06Eco",1.47517730496454
"1054","Ezz15Rev","Gul12Age",1.47517730496454
"1064","Ezz15Rev","Li_16Wor",1.47517730496454
"1232","Gan06Eco","Kum14Jou",1.47517730496454
"1247","Gan06Eco","Pen10Phy",1.47517730496454
"1404","Gue95Urb","Ros80Jou",1.47517730496454
"1422","Gul12Age","Kum14Jou",1.47517730496454
"1437","Gul12Age","Pen10Phy",1.47517730496454
"1676","Kum14Jou","Li_16Wor",1.47517730496454
"1742","Li_16Wor","Pen10Phy",1.47517730496454
"1778","Luc14Eco","Ven13Oec",1.47517730496454
"1782","Mal80Env","Mir86Urb",1.47517730496454
"1965","Par83Jou","Ros80Jou",1.47517730496454
"2027","Ros80Jou","Sch12Reg",1.47517730496454
"191","Ara14Eco","Ber12Cit",1.52127659574468
"193","Ara14Eco","Bos08Reg",1.52127659574468
"194","Ara14Eco","Bra99Jou",1.52127659574468
"202","Ara14Eco","Dim09Urb",1.52127659574468
"324","Ber12Cit","Ezz15Rev",1.52127659574468
"341","Ber12Cit","Kum14Jou",1.52127659574468
"356","Ber12Cit","Pen10Phy",1.52127659574468
"439","Bos08Reg","Ezz15Rev",1.52127659574468
"456","Bos08Reg","Kum14Jou",1.52127659574468
"471","Bos08Reg","Pen10Phy",1.52127659574468
"495","Bra99Jou","Ezz15Rev",1.52127659574468
"512","Bra99Jou","Kum14Jou",1.52127659574468
"527","Bra99Jou","Pen10Phy",1.52127659574468
"784","Cra05Con","Mod15Qua",1.52127659574468
"907","Dim09Urb","Ezz15Rev",1.52127659574468
"924","Dim09Urb","Kum14Jou",1.52127659574468
"939","Dim09Urb","Pen10Phy",1.52127659574468
"1110","Faz15Jou","Mal80Env",1.52127659574468
"1495","Ign15Dis","Mal80Env",1.52127659574468
"1759","Luc14Eco","Mod15Qua",1.52127659574468
"1848","Mir86Urb","XuZ09Urb",1.52127659574468
"54","Alp89Jou","Ros80Jou",1.56737588652482
"231","Ara14Eco","Mor13Tow",1.56737588652482
"241","Ara14Eco","Roz11Ame",1.56737588652482
"286","Bat01Urb","Mal80Env",1.56737588652482
"880","Del13Eur","Mal80Env",1.56737588652482
"1071","Ezz15Rev","Mor13Tow",1.56737588652482
"1081","Ezz15Rev","Roz11Ame",1.56737588652482
"1133","Faz15Jou","XuZ09Urb",1.56737588652482
"1518","Ign15Dis","XuZ09Urb",1.56737588652482
"1574","Kam90Jou","Ros80Jou",1.56737588652482
"1683","Kum14Jou","Mor13Tow",1.56737588652482
"1693","Kum14Jou","Roz11Ame",1.56737588652482
"1719","LeG08Emp","Ros80Jou",1.56737588652482
"1800","Mal80Env","Soo07Urb",1.56737588652482
"1847","Mir86Urb","Ven13Oec",1.56737588652482
"1896","Mor13Tow","Pen10Phy",1.56737588652482
"1993","Pen10Phy","Roz11Ame",1.56737588652482
"197","Ara14Eco","Cam90Jou",1.61347517730496
"207","Ara14Eco","Gab11Jou",1.61347517730496
"208","Ara14Eco","Gab99Qua",1.61347517730496
"219","Ara14Eco","Knu01Ame",1.61347517730496
"221","Ara14Eco","Kru96Jou",1.61347517730496
"232","Ara14Eco","Nau03Jou",1.61347517730496
"234","Ara14Eco","Oka79Reg",1.61347517730496
"247","Ara14Eco","Sua80Jou",1.61347517730496
"309","Bat01Urb","XuZ09Urb",1.61347517730496
"657","Cam90Jou","Ezz15Rev",1.61347517730496
"674","Cam90Jou","Kum14Jou",1.61347517730496
"689","Cam90Jou","Pen10Phy",1.61347517730496
"903","Del13Eur","XuZ09Urb",1.61347517730496
"1047","Ezz15Rev","Gab11Jou",1.61347517730496
"1048","Ezz15Rev","Gab99Qua",1.61347517730496
"1059","Ezz15Rev","Knu01Ame",1.61347517730496
"1061","Ezz15Rev","Kru96Jou",1.61347517730496
"1072","Ezz15Rev","Nau03Jou",1.61347517730496
"1074","Ezz15Rev","Oka79Reg",1.61347517730496
"1087","Ezz15Rev","Sua80Jou",1.61347517730496
"1132","Faz15Jou","Ven13Oec",1.61347517730496
"1149","Gab11Jou","Kum14Jou",1.61347517730496
"1164","Gab11Jou","Pen10Phy",1.61347517730496
"1191","Gab99Qua","Kum14Jou",1.61347517730496
"1206","Gab99Qua","Pen10Phy",1.61347517730496
"1517","Ign15Dis","Ven13Oec",1.61347517730496
"1587","Knu01Ame","Kum14Jou",1.61347517730496
"1602","Knu01Ame","Pen10Phy",1.61347517730496
"1646","Kru96Jou","Kum14Jou",1.61347517730496
"1661","Kru96Jou","Pen10Phy",1.61347517730496
"1684","Kum14Jou","Nau03Jou",1.61347517730496
"1686","Kum14Jou","Oka79Reg",1.61347517730496
